time,depth,variable,mean_value,depth_category
2025-09-16,86.92942810058594,fe,0.00031756528187543154,Upper Ocean
2025-09-16,97.04131317138672,fe,0.0003340911353006959,Upper Ocean
2025-09-16,108.03028106689453,fe,0.0003484410117380321,Upper Ocean
2025-09-16,120.0,fe,0.00037114674341864884,Upper Ocean
2025-09-16,133.07582092285156,fe,0.0003979502071160823,Upper Ocean
2025-09-16,147.40625,fe,0.00042705729720182717,Upper Ocean
2025-09-16,163.16445922851562,fe,0.0004560233501251787,Upper Ocean
2025-09-16,180.5499267578125,fe,0.0004856668529100716,Upper Ocean
2025-09-16,199.7899627685547,fe,0.0005094434600323439,Upper Ocean
2025-09-16,221.14117431640625,fe,0.000528695760294795,Intermediate
2025-09-16,244.890625,fe,0.0005485998699441552,Intermediate
2025-09-16,271.35638427734375,fe,0.000564896734431386,Intermediate
2025-09-16,300.88751220703125,fe,0.0005791716394014657,Intermediate
2025-09-16,333.8628234863281,fe,0.0005908380262553692,Intermediate
2025-09-16,370.6884765625,fe,0.0006004527094773948,Intermediate
2025-09-16,411.7938537597656,fe,0.0006067324429750443,Intermediate
2025-09-16,457.6256103515625,fe,0.00061002466827631,Intermediate
2025-09-16,508.639892578125,fe,0.000612287491094321,Intermediate
2025-09-16,565.2922973632812,fe,0.0006127312663011253,Intermediate
2025-09-16,628.0260009765625,fe,0.0006123112980276346,Intermediate
2025-09-16,697.2586669921875,fe,0.000611637020483613,Intermediate
2025-09-16,773.3682861328125,fe,0.0006101846811361611,Intermediate
2025-09-16,856.678955078125,fe,0.0006082571344450116,Intermediate
2025-09-16,947.4478759765625,fe,0.0006059759180061519,Intermediate
2025-09-16,1045.854248046875,fe,0.0006039417930878699,Deep Ocean
2025-09-16,1151.9912109375,fe,0.0006021350272931159,Deep Ocean
2025-09-16,1265.8614501953125,fe,0.0006001899018883705,Deep Ocean
2025-09-16,1387.376953125,fe,0.0005983072333037853,Deep Ocean
2025-09-16,1516.3636474609375,fe,0.0005966076860204339,Deep Ocean
2025-09-16,1652.5684814453125,fe,0.0005950955091975629,Deep Ocean
2025-09-16,1795.6707763671875,fe,0.000593775708694011,Deep Ocean
2025-09-16,1945.2955322265625,fe,0.0005925263394601643,Deep Ocean
2025-09-16,2101.026611328125,fe,0.0005914336070418358,Deep Ocean
2025-09-16,2262.421630859375,fe,0.0005905433790758252,Deep Ocean
2025-09-16,2429.025146484375,fe,0.0005900548421777785,Deep Ocean
2025-09-16,2600.38037109375,fe,0.0005899876705370843,Deep Ocean
2025-09-16,2776.039306640625,fe,0.0005900972173549235,Deep Ocean
2025-09-16,2955.5703125,fe,0.0005902504781261086,Deep Ocean
2025-09-16,3138.56494140625,fe,0.0005905050784349442,Deep Ocean
2025-09-16,3324.640869140625,fe,0.0005901850527152419,Deep Ocean
2025-09-16,3513.445556640625,fe,0.0005901969270780683,Deep Ocean
2025-09-16,3704.65673828125,fe,0.0005896644433960319,Deep Ocean
2025-09-16,3897.98193359375,fe,0.0005883803823962808,Deep Ocean
2025-09-16,4093.15869140625,fe,0.0005883561680093408,Abyssal
2025-09-16,4289.95263671875,fe,0.000587362446822226,Abyssal
2025-09-16,4488.15478515625,fe,0.000586404581554234,Abyssal
2025-09-16,4687.5810546875,fe,0.0005871399189345539,Abyssal
2025-09-16,4888.06982421875,fe,0.0005898222443647683,Abyssal
2025-09-16,5089.478515625,fe,0.0005943932919763029,Abyssal
2025-09-16,5291.68310546875,fe,0.0005998392007313669,Abyssal
2025-09-16,5494.5751953125,fe,0.0006063273176550865,Abyssal
2025-09-16,5698.060546875,fe,0.0006096044089645147,Abyssal
2025-09-16,0.5057600140571594,no3,7.225978851318359,Surface
2025-09-16,1.5558552742004395,no3,7.2259111404418945,Surface
2025-09-16,2.6676816940307617,no3,7.224379062652588,Surface
2025-09-16,3.8562798500061035,no3,7.222815036773682,Surface
2025-09-16,5.140361309051514,no3,7.2213873863220215,Surface
2025-09-16,6.543033599853516,no3,7.2201924324035645,Surface
2025-09-16,8.09251880645752,no3,7.219640731811523,Surface
2025-09-16,9.822750091552734,no3,7.220635414123535,Surface
2025-09-16,11.773679733276367,no3,7.226497173309326,Shallow
2025-09-16,13.99103832244873,no3,7.29332971572876,Shallow
2025-09-16,16.52532196044922,no3,7.3358259201049805,Shallow
2025-09-16,19.42980194091797,no3,7.399074077606201,Shallow
2025-09-16,22.75761604309082,no3,7.498490810394287,Shallow
2025-09-16,26.558300018310547,no3,7.6429643630981445,Shallow
2025-09-16,30.874561309814453,no3,7.835293769836426,Shallow
2025-09-16,35.740203857421875,no3,8.081048011779785,Shallow
2025-09-16,41.180023193359375,no3,8.36693286895752,Shallow
2025-09-16,47.21189498901367,no3,8.68171215057373,Shallow
2025-09-16,53.85063552856445,no3,9.033374786376953,Upper Ocean
2025-09-16,61.11283874511719,no3,9.427797317504883,Upper Ocean
2025-09-16,69.02168273925781,no3,9.864154815673828,Upper Ocean
2025-09-16,77.61116027832031,no3,10.349757194519043,Upper Ocean
2025-09-16,86.92942810058594,no3,10.900484085083008,Upper Ocean
2025-09-16,97.04131317138672,no3,11.523783683776855,Upper Ocean
2025-09-16,108.03028106689453,no3,12.203481674194336,Upper Ocean
2025-09-16,120.0,no3,12.913110733032227,Upper Ocean
2025-09-16,133.07582092285156,no3,13.63917064666748,Upper Ocean
2025-09-16,147.40625,no3,14.376333236694336,Upper Ocean
2025-09-16,163.16445922851562,no3,15.127197265625,Upper Ocean
2025-09-16,180.5499267578125,no3,15.88525104522705,Upper Ocean
2025-09-16,199.7899627685547,no3,16.653480529785156,Upper Ocean
2025-09-16,221.14117431640625,no3,17.443641662597656,Intermediate
2025-09-16,244.890625,no3,18.270206451416016,Intermediate
2025-09-16,271.35638427734375,no3,19.154878616333008,Intermediate
2025-09-16,300.88751220703125,no3,20.098852157592773,Intermediate
2025-09-16,333.8628234863281,no3,21.092424392700195,Intermediate
2025-09-16,370.6884765625,no3,22.128271102905273,Intermediate
2025-09-16,411.7938537597656,no3,23.203140258789062,Intermediate
