time,longitude,variable,mean_value
2025-09-16,-169.0,spco2,41.22898483276367
2025-09-16,-168.75,spco2,41.25929260253906
2025-09-16,-168.5,spco2,41.27592849731445
2025-09-16,-168.25,spco2,41.29820251464844
2025-09-16,-168.0,spco2,41.31092834472656
2025-09-16,-167.75,spco2,41.321624755859375
2025-09-16,-167.5,spco2,41.33368682861328
2025-09-16,-167.25,spco2,41.3470458984375
2025-09-16,-167.0,spco2,41.3799934387207
2025-09-16,-166.75,spco2,41.41154098510742
2025-09-16,-166.5,spco2,41.42557907104492
2025-09-16,-166.25,spco2,41.426612854003906
2025-09-16,-166.0,spco2,41.42961120605469
2025-09-16,-165.75,spco2,41.425716400146484
2025-09-16,-165.5,spco2,41.423709869384766
2025-09-16,-165.25,spco2,41.438114166259766
2025-09-16,-165.0,spco2,41.4295654296875
2025-09-16,-164.75,spco2,41.413673400878906
2025-09-16,-164.5,spco2,41.404869079589844
2025-09-16,-164.25,spco2,41.38959503173828
2025-09-16,-164.0,spco2,41.40024948120117
2025-09-16,-163.75,spco2,41.405975341796875
2025-09-16,-163.5,spco2,41.41608428955078
2025-09-16,-163.25,spco2,41.42991256713867
2025-09-16,-163.0,spco2,41.43480682373047
2025-09-16,-162.75,spco2,41.434242248535156
2025-09-16,-162.5,spco2,41.44956970214844
2025-09-16,-162.25,spco2,41.44628143310547
2025-09-16,-162.0,spco2,41.417930603027344
2025-09-16,-161.75,spco2,41.3938102722168
2025-09-16,-161.5,spco2,41.3963508605957
2025-09-16,-161.25,spco2,41.41941452026367
2025-09-16,-161.0,spco2,41.43373107910156
2025-09-16,-160.75,spco2,41.45420455932617
2025-09-16,-160.5,spco2,41.46788024902344
2025-09-16,-160.25,spco2,41.4825553894043
2025-09-16,-160.0,spco2,41.49961471557617
2025-09-16,-159.75,spco2,41.531333923339844
2025-09-16,-159.5,spco2,41.54132080078125
2025-09-16,-159.25,spco2,41.549644470214844
2025-09-16,-159.0,spco2,41.56082534790039
2025-09-16,-158.75,spco2,41.60090255737305
2025-09-16,-158.5,spco2,41.6063117980957
2025-09-16,-158.25,spco2,41.58695983886719
2025-09-16,-158.0,spco2,41.580810546875
2025-09-16,-157.75,spco2,41.55018997192383
2025-09-16,-157.5,spco2,41.56142807006836
2025-09-16,-157.25,spco2,41.572662353515625
2025-09-16,-157.0,spco2,41.56904220581055
2025-09-16,-156.75,spco2,41.58097457885742
2025-09-16,-156.5,spco2,41.57944107055664
2025-09-16,-156.25,spco2,41.5746955871582
2025-09-16,-156.0,spco2,41.56589126586914
2025-09-16,-155.75,spco2,41.54978561401367
2025-09-16,-155.5,spco2,41.54574203491211
2025-09-16,-155.25,spco2,41.54054260253906
2025-09-16,-155.0,spco2,41.55548858642578
2025-09-16,-154.75,spco2,41.55645751953125
2025-09-16,-154.5,spco2,41.56765365600586
2025-09-16,-154.25,spco2,41.57749557495117
2025-09-16,-154.0,spco2,41.5748176574707
2025-09-16,-153.75,spco2,41.577571868896484
2025-09-16,-153.5,spco2,41.598236083984375
2025-09-16,-153.25,spco2,41.60886001586914
2025-09-16,-153.0,spco2,41.617794036865234
2025-09-16,-152.75,spco2,41.6451530456543
2025-09-16,-152.5,spco2,41.63825607299805
2025-09-16,-152.25,spco2,41.62731170654297
2025-09-16,-152.0,spco2,41.621395111083984
2025-09-16,-151.75,spco2,41.64434051513672
2025-09-16,-151.5,spco2,41.678199768066406
2025-09-16,-151.25,spco2,41.68724060058594
2025-09-16,-151.0,spco2,41.687198638916016
2025-09-16,-150.75,spco2,41.676815032958984
2025-09-16,-150.5,spco2,41.684139251708984
2025-09-16,-150.25,spco2,41.680419921875
2025-09-16,-150.0,spco2,41.67673873901367
2025-09-16,-149.75,spco2,41.64609146118164
2025-09-16,-149.5,spco2,41.63981246948242
2025-09-16,-149.25,spco2,41.63300323486328
2025-09-16,-149.0,spco2,41.618141174316406
2025-09-16,-148.75,spco2,41.61743927001953
2025-09-16,-148.5,spco2,41.620704650878906
2025-09-16,-148.25,spco2,41.612770080566406
2025-09-16,-148.0,spco2,41.616241455078125
2025-09-16,-147.75,spco2,41.63103103637695
2025-09-16,-147.5,spco2,41.66079330444336
2025-09-16,-147.25,spco2,41.67381286621094
2025-09-16,-147.0,spco2,41.68116760253906
2025-09-16,-146.75,spco2,41.70044708251953
2025-09-16,-146.5,spco2,41.701663970947266
2025-09-16,-146.25,spco2,41.71330642700195
2025-09-16,-146.0,spco2,41.7205924987793
2025-09-16,-145.75,spco2,41.727691650390625
2025-09-16,-145.5,spco2,41.730621337890625
2025-09-16,-145.25,spco2,41.73625183105469
2025-09-16,-145.0,spco2,41.76045608520508
2025-09-16,-144.75,spco2,41.7734375
2025-09-16,-144.5,spco2,41.76283264160156
2025-09-16,-144.25,spco2,41.7599983215332
2025-09-16,-144.0,spco2,41.76921844482422
2025-09-16,-143.75,spco2,41.78316116333008
2025-09-16,-143.5,spco2,41.792694091796875
2025-09-16,-143.25,spco2,41.81875991821289
2025-09-16,-143.0,spco2,41.838199615478516
2025-09-16,-142.75,spco2,41.847747802734375
2025-09-16,-142.5,spco2,41.86520767211914
2025-09-16,-142.25,spco2,41.87460708618164
2025-09-16,-142.0,spco2,41.86497116088867
2025-09-16,-141.75,spco2,41.84364318847656
2025-09-16,-141.5,spco2,41.85171127319336
2025-09-16,-141.25,spco2,41.820648193359375
2025-09-16,-141.0,spco2,41.82508087158203
2025-09-16,-140.75,spco2,41.82997131347656
2025-09-16,-140.5,spco2,41.82328796386719
2025-09-16,-140.25,spco2,41.826446533203125
2025-09-16,-140.0,spco2,41.856258392333984
2025-09-16,-139.75,spco2,41.84674835205078
2025-09-16,-139.5,spco2,41.84145736694336
2025-09-16,-139.25,spco2,41.83678436279297
2025-09-16,-139.0,spco2,41.826690673828125
2025-09-16,-138.75,spco2,41.820091247558594
2025-09-16,-138.5,spco2,41.81326675415039
2025-09-16,-138.25,spco2,41.83828353881836
2025-09-16,-138.0,spco2,41.85869216918945
2025-09-16,-137.75,spco2,41.89446258544922
2025-09-16,-137.5,spco2,41.93284225463867
2025-09-16,-137.25,spco2,41.96306228637695
2025-09-16,-137.0,spco2,41.99055099487305
2025-09-16,-136.75,spco2,42.01443099975586
2025-09-16,-136.5,spco2,42.0352897644043
2025-09-16,-136.25,spco2,42.050655364990234
2025-09-16,-136.0,spco2,42.083778381347656
2025-09-16,-135.75,spco2,42.07332992553711
2025-09-16,-135.5,spco2,42.07697677612305
2025-09-16,-135.25,spco2,42.112205505371094
2025-09-16,-135.0,spco2,42.18380355834961
2025-09-16,-134.75,spco2,42.30986785888672
2025-09-16,-134.5,spco2,42.32748031616211
2025-09-16,-134.25,spco2,42.14793395996094
2025-09-16,-134.0,spco2,42.40098571777344
2025-09-16,-133.75,spco2,42.344459533691406
2025-09-16,-133.5,spco2,42.409584045410156
2025-09-16,-133.25,spco2,42.36161804199219
2025-09-16,-133.0,spco2,42.32522201538086
2025-09-16,-132.75,spco2,42.082786560058594
2025-09-16,-132.5,spco2,42.06590270996094
2025-09-16,-132.25,spco2,42.06071472167969
2025-09-16,-132.0,spco2,42.05315017700195
2025-09-16,-131.75,spco2,42.037452697753906
2025-09-16,-131.5,spco2,42.04510498046875
2025-09-16,-131.25,spco2,42.04938507080078
2025-09-16,-131.0,spco2,42.050079345703125
2025-09-16,-130.75,spco2,42.0627326965332
2025-09-16,-130.5,spco2,42.05833053588867
2025-09-16,-130.25,spco2,41.997013092041016
2025-09-16,-130.0,spco2,41.97859191894531
2025-09-16,-129.75,spco2,41.960304260253906
2025-09-16,-129.5,spco2,41.95981979370117
2025-09-16,-129.25,spco2,41.91291427612305
2025-09-16,-129.0,spco2,41.851070404052734
2025-09-16,-128.75,spco2,41.810630798339844
2025-09-16,-128.5,spco2,41.822113037109375
2025-09-16,-128.25,spco2,41.780582427978516
2025-09-16,-128.0,spco2,41.79757308959961
